Booking Date,Origin,Destination,Departure Date,Departure Day,Arrival Date,Arrival Day,Trip Duration,Price,Airline,stops - outbound,stops - return,duration - inbound,duration - return,Origin_Holiday_Season,Origin_Peak_Season,Dest_Holiday_Season,Dest_Peak_Season,On_Holiday,On_Peak,Unnamed: 20
2025-03-04,YYZ,YVR,2025-04-02,Wednesday,2025-04-09,Wednesday,7,352.0,Air Transat • Operated by Porter Airlines,direct,direct,5h 15m,4h 40m,No,No,No,No,No,No,29.0
2025-03-04,YYZ,YVR,2025-04-02,Wednesday,2025-04-12,Saturday,10,212.0,Porter Airlines,direct,direct,5h 15m,4h 40m,No,No,No,No,No,No,29.0
2025-03-04,YYZ,KIX,2025-04-02,Wednesday,2025-04-09,Wednesday,7,2091.0,"United Airlines, ANA • Operated by United Airlines, Star Flyer, Air Canada",1 stop,2 stops,17h 15m,20h 25m,No,No,No,No,No,No,29.0
2025-03-04,YVR,LGW,2025-04-09,Wednesday,2025-04-12,Saturday,3,964.0,Air Transat • Operated by Porter Airlines,1 stop,1 stop,14h 15m,16h 20m,No,No,No,No,No,No,36.0
2025-03-04,YYZ,YVR,2025-04-02,Wednesday,2025-04-16,Wednesday,14,226.0,Porter Airlines,direct,direct,5h 15m,4h 40m,No,No,No,No,No,No,29.0
2025-03-04,YYZ,KIX,2025-04-02,Wednesday,2025-04-12,Saturday,10,2141.0,"United Airlines, ANA • Operated by United Airlines, Star Flyer, Air Canada",1 stop,2 stops,19h 20m,18h 24m,No,No,No,No,No,No,29.0
2025-03-04,YVR,LGW,2025-04-09,Wednesday,2025-04-14,Monday,5,1100.0,Air Transat • Operated by Porter Airlines,1 stop,1 stop,14h 15m,16h 20m,No,No,No,No,No,No,36.0
2025-03-04,YYZ,YVR,2025-04-02,Wednesday,2025-05-02,Friday,30,307.0,Porter Airlines,direct,direct,5h 15m,4h 30m,No,No,No,No,No,No,29.0
2025-03-04,YVR,LGW,2025-04-09,Wednesday,2025-04-16,Wednesday,7,1240.0,Air Transat • Operated by Porter Airlines,1 stop,1 stop,14h 15m,16h 20m,No,No,No,No,No,No,36.0
2025-03-04,YYZ,KIX,2025-04-02,Wednesday,2025-04-16,Wednesday,14,2313.0,Cathay Pacific,1 stop,1 stop,19h 25m,22h 05m,No,No,No,No,No,No,29.0
2025-03-04,YYZ,YVR,2025-04-09,Wednesday,2025-04-12,Saturday,3,226.0,Porter Airlines,direct,direct,5h 15m,4h 40m,No,No,No,No,No,No,36.0
2025-03-04,YYZ,YVR,2025-04-09,Wednesday,2025-04-14,Monday,5,226.0,Porter Airlines,direct,direct,5h 15m,4h 40m,No,No,No,No,No,No,36.0
2025-03-04,YYZ,KIX,2025-04-02,Wednesday,2025-05-02,Friday,30,2067.0,"United Airlines, ANA • Operated by United Airlines, Star Flyer, Air Canada",1 stop,2 stops,19h 20m,18h 34m,No,No,No,No,No,No,29.0
2025-03-04,YVR,LGW,2025-04-09,Wednesday,2025-04-19,Saturday,10,910.0,Air Transat • Operated by Porter Airlines,1 stop,1 stop,14h 15m,16h 20m,No,No,No,No,No,No,36.0
2025-03-04,YYZ,YVR,2025-04-09,Wednesday,2025-04-16,Wednesday,7,226.0,Porter Airlines,direct,direct,5h 15m,4h 40m,No,No,No,No,No,No,36.0
2025-03-04,YVR,LGW,2025-04-09,Wednesday,2025-04-23,Wednesday,14,1099.0,Air Transat • Operated by Porter Airlines,1 stop,1 stop,14h 15m,16h 20m,No,No,No,No,No,No,36.0
2025-03-04,YYZ,KIX,2025-04-09,Wednesday,2025-04-12,Saturday,3,2189.0,EVA Air,1 stop,1 stop,17h 15m,15h 35m,No,No,No,No,No,No,36.0
2025-03-04,YYZ,YVR,2025-04-09,Wednesday,2025-04-19,Saturday,10,307.0,Porter Airlines,direct,direct,5h 15m,4h 41m,No,No,No,No,No,No,36.0
2025-03-04,YVR,LGW,2025-04-09,Wednesday,2025-05-09,Friday,30,910.0,Porter Airlines • Operated by Air Transat,1 stop,1 stop,14h 15m,16h 15m,No,No,No,No,No,No,36.0
2025-03-04,YVR,LGW,2025-04-16,Wednesday,2025-04-19,Saturday,3,1124.0,Air Transat • Operated by Porter Airlines,1 stop,1 stop,14h 15m,16h 20m,No,No,No,No,No,No,43.0
2025-03-04,YYZ,YVR,2025-04-09,Wednesday,2025-04-23,Wednesday,14,270.0,"Porter Airlines, WestJet",direct,direct,5h 15m,4h 40m,No,No,No,No,No,No,36.0
2025-03-04,YYZ,KIX,2025-04-09,Wednesday,2025-04-14,Monday,5,2665.0,Korean Air,1 stop,1 stop,17h 15m,22h 05m,No,No,No,No,No,No,36.0
2025-03-04,YVR,LGW,2025-04-16,Wednesday,2025-04-21,Monday,5,1459.0,Air Transat • Operated by Porter Airlines,1 stop,1 stop,14h 15m,16h 20m,No,No,No,No,No,No,43.0
2025-03-04,YVR,LGW,2025-04-16,Wednesday,2025-04-23,Wednesday,7,1292.0,Porter Airlines • Operated by Air Transat,1 stop,2 stops,11h 35m,16h 18m,No,No,No,No,No,No,43.0
2025-03-04,YYZ,YVR,2025-04-16,Wednesday,2025-04-19,Saturday,3,306.0,Porter Airlines,direct,direct,5h 15m,4h 41m,No,No,No,No,No,No,43.0
2025-03-04,YVR,LGW,2025-04-16,Wednesday,2025-04-26,Saturday,10,1295.0,Porter Airlines • Operated by Air Transat,1 stop,1 stop,14h 15m,16h 20m,No,No,No,No,No,No,43.0
2025-03-04,YYZ,KIX,2025-04-09,Wednesday,2025-04-19,Saturday,10,3010.0,"Air Canada, ANA • Operated by Star Flyer, ANA",1 stop,1 stop,21h 30m,18h 24m,No,No,No,No,No,No,36.0
2025-03-04,YYZ,YVR,2025-04-16,Wednesday,2025-04-21,Monday,5,375.0,Porter Airlines,direct,direct,5h 15m,4h 40m,No,No,No,No,No,No,43.0
2025-03-04,YYZ,YVR,2025-04-16,Wednesday,2025-04-26,Saturday,10,307.0,Porter Airlines,direct,direct,5h 15m,4h 41m,No,No,No,No,No,No,43.0
2025-03-04,YYZ,KIX,2025-04-09,Wednesday,2025-05-09,Friday,30,2138.0,"Air Canada, ANA • Operated by Star Flyer, ANA",1 stop,1 stop,17h 15m,19h 35m,No,No,No,No,No,No,36.0
2025-03-04,YVR,LGW,2025-04-16,Wednesday,2025-05-16,Friday,30,1315.0,Air Transat • Operated by Porter Airlines,1 stop,1 stop,14h 15m,16h 15m,No,No,No,No,No,No,43.0
2025-03-04,YYZ,KIX,2025-04-16,Wednesday,2025-04-19,Saturday,3,1997.0,"United Airlines, ANA • Operated by United Airlines, Star Flyer, Air Canada",1 stop,2 stops,19h 20m,18h 24m,No,No,No,No,No,No,43.0
2025-03-04,YYZ,KIX,2025-04-16,Wednesday,2025-04-21,Monday,5,2475.0,Japan Airlines • Operated by Republic Airways AS American Eagle,2 stops,2 stops,17h 25m,22h 05m,No,No,No,No,No,No,43.0
2025-03-04,YYZ,KIX,2025-04-16,Wednesday,2025-04-23,Wednesday,7,2131.0,Air Canada • Operated by ANA,1 stop,1 stop,17h 25m,22h 05m,No,No,No,No,No,No,43.0
2025-03-04,YYZ,KIX,2025-04-16,Wednesday,2025-04-26,Saturday,10,2550.0,Japan Airlines • Operated by Republic Airways AS American Eagle,2 stops,2 stops,17h 25m,20h 25m,No,No,No,No,No,No,43.0
2025-03-04,YVR,LGW,2025-04-23,Wednesday,2025-04-28,Monday,5,1304.0,Air Transat • Operated by Porter Airlines,1 stop,1 stop,11h 35m,16h 18m,No,No,No,No,No,No,50.0
2025-03-04,YVR,LGW,2025-04-23,Wednesday,2025-04-30,Wednesday,7,1355.0,Air Transat • Operated by Porter Airlines,1 stop,1 stop,11h 35m,16h 18m,No,No,No,No,No,No,50.0
2025-03-04,YVR,LGW,2025-04-23,Wednesday,2025-05-03,Saturday,10,1490.0,Air Transat • Operated by Porter Airlines,1 stop,1 stop,11h 35m,12h 55m,No,No,No,No,No,No,50.0
2025-03-04,YVR,LGW,2025-04-30,Wednesday,2025-05-03,Saturday,3,1455.0,Air Transat • Operated by Porter Airlines,1 stop,1 stop,11h 35m,12h 55m,No,No,No,No,No,No,57.0
2025-03-04,YVR,LGW,2025-04-30,Wednesday,2025-05-14,Wednesday,14,1400.0,Porter Airlines • Operated by Air Transat,1 stop,1 stop,11h 35m,16h 18m,No,No,No,No,No,No,57.0
2025-03-04,YVR,CDG,2025-03-05,Wednesday,2025-03-08,Saturday,3,2623.0,"Air France, KLM • Operated by Air France",direct,1 stop,11h 50m,13h 10m,No,No,No,No,No,No,1.0
2025-03-04,YVR,CDG,2025-03-05,Wednesday,2025-03-10,Monday,5,2590.0,Air France,direct,direct,9h 25m,10h 00m,No,No,No,No,No,No,1.0
2025-03-04,YVR,CDG,2025-03-05,Wednesday,2025-03-12,Wednesday,7,2590.0,Air France,direct,direct,9h 25m,10h 00m,No,No,No,No,No,No,1.0
2025-03-04,YVR,CDG,2025-03-05,Wednesday,2025-03-15,Saturday,10,2620.0,Air France,direct,direct,11h 50m,12h 10m,No,No,No,No,No,No,1.0
2025-03-04,YVR,CDG,2025-03-05,Wednesday,2025-04-04,Friday,30,2622.0,Air France,direct,direct,9h 25m,9h 50m,No,No,No,No,No,No,1.0
